,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-6.654558, 54.353728)","(-5.974944, 54.572586)","(-5.928833, 54.59965)","(-1.830583, 52.511722)","(-1.875024, 52.47609)","(-4.041924, 51.074793)","(-2.583975, 51.457968)","(-2.584482, 51.462839)","(-2.293772, 53.559029)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.490082, 52.407708)","(-7.331179, 55.002818)","(-0.265617, 51.51895)","(-1.358547, 54.516667)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-1.124228, 52.638677)","(-2.844333, 53.34633)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-1.188851, 52.969377)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(-0.940382, 51.454896)","(0.634889, 51.45617)","(-1.463484, 50.920265)","(-4.227678, 50.411463)","(-0.636811, 53.58634)","(-0.300306, 52.132417)","(-1.478096, 53.378622)","(-2.742134, 53.451826)","(-0.05955, 51.480499)","(-1.395778, 50.90814)","(-2.111898, 52.980436)","(-0.449548, 50.916932)","(-3.947374, 51.632696)","(0.317969, 51.47707)","(-2.615358, 53.38928)","(-3.002778, 53.04222)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2017-01-01T14:00:00Z,4,0,8,15,9,4,4,0,0,0,3,9,5,10,14,4,10,4,7,11,0,18,12,11,8,0,9,9,9,2,18,0,3,3,4,16,6,6,0,6,0,2,5,8,7,10,0,5,4,16,0,3,2,0,22,5,6,6,10,0,14,0,4,15,4,8,10,0,9,12
2017-01-01T15:00:00Z,11,0,8,17,7,5,4,0,0,2,4,6,4,5,9,2,9,6,8,7,0,21,7,7,11,0,4,6,7,2,7,0,5,4,7,20,7,6,0,4,0,0,7,8,6,8,0,9,3,16,0,1,0,0,1,3,6,7,9,0,4,0,8,18,5,2,7,0,8,11
2017-01-01T16:00:00Z,18,0,10,13,11,7,5,0,0,4,9,6,8,4,8,29,8,6,8,4,0,23,8,1,11,0,2,9,5,3,8,0,2,7,12,13,8,8,0,4,0,7,10,14,7,8,0,5,5,17,0,-2,2,0,2,2,5,8,9,0,3,0,14,14,8,3,7,0,5,4
2017-01-01T17:00:00Z,18,0,13,16,11,9,12,0,0,6,12,8,9,3,10,12,8,10,9,5,0,25,6,-2,15,0,5,10,3,10,7,0,6,11,13,17,9,12,0,7,0,5,9,14,8,9,0,4,2,0,0,1,5,0,1,3,6,9,12,0,6,0,11,7,11,1,9,0,10,9
2017-01-01T18:00:00Z,10,0,14,19,13,9,11,0,0,8,3,7,13,24,6,4,6,15,6,7,0,21,8,1,8,0,12,10,10,12,5,0,4,10,14,16,2,14,0,7,0,10,14,12,11,8,0,6,1,2,0,3,7,0,2,4,3,12,9,0,4,0,12,7,9,4,9,0,6,4
2017-01-01T19:00:00Z,14,0,16,12,18,7,13,0,0,9,9,9,10,7,2,5,6,13,4,7,0,33,7,3,10,0,14,6,20,14,8,0,6,11,13,16,7,11,0,14,0,10,14,10,11,9,0,6,1,5,0,3,8,0,2,5,4,12,8,0,9,0,9,4,6,4,13,0,13,6
2017-01-01T20:00:00Z,13,0,16,21,17,6,19,0,0,7,9,11,6,13,8,2,6,14,7,8,0,28,10,21,11,0,13,8,16,13,8,0,5,10,10,14,7,11,0,7,0,14,14,10,12,6,0,4,3,4,0,2,5,0,3,4,6,15,12,0,6,0,9,6,7,2,14,0,8,5
2017-01-01T21:00:00Z,13,0,14,19,19,7,7,0,0,7,3,10,8,10,7,6,5,10,6,11,0,27,12,9,5,0,16,7,14,16,8,0,7,10,13,7,8,12,0,22,0,17,11,7,13,7,0,7,7,4,0,3,8,0,2,4,8,16,8,0,10,0,19,6,8,5,14,0,9,6
2017-01-01T22:00:00Z,10,0,12,24,19,7,-2,0,0,10,8,13,6,14,10,9,5,15,7,10,0,26,12,27,8,0,12,8,9,12,10,0,9,10,12,2,4,12,0,22,0,16,10,11,9,6,0,1,8,7,0,8,18,0,2,8,7,11,8,0,8,0,22,5,7,7,15,0,8,2
2017-01-01T23:00:00Z,10,0,14,22,16,4,0,0,0,10,6,11,8,8,13,12,6,10,6,10,0,28,14,5,6,0,10,9,11,11,10,0,10,7,10,8,5,10,0,19,0,8,11,10,11,8,0,3,7,8,0,11,13,0,4,8,8,10,7,0,12,0,10,5,8,4,5,0,13,12
