,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.918235, 52.481346)","(-1.826744, 50.73957)","(-4.041924, 51.074793)","(-2.584482, 51.462839)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.780888, 50.735454)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-7.331179, 55.002818)","(-1.358547, 54.516667)","(0.271611, 50.805778)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.131931, 51.49467)","(-0.441614, 51.48879)","(-0.341222, 53.74878)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.127311, 52.619823)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-0.916605, 52.272257)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(-4.227678, 50.411463)","(-0.300306, 52.132417)","(0.678408, 51.544206)","(-1.455815, 53.40495)","(-1.478096, 53.378622)","(-1.3159, 54.565819)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-1.406878, 54.88361)","(-3.947374, 51.632696)","(-0.345606, 51.425286)","(-3.022722, 53.37287)","(-2.615358, 53.38928)","(-2.638139, 53.54914)","(-3.002778, 53.04222)","(-0.379916, 50.832947)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2019-01-01T12:00:00Z,8,2,7,10,8,4,0,4,7,9,9,7,5,9,10,5,12,-3,8,3,6,5,13,6,8,8,8,5,4,5,3,3,7,4,2,6,4,6,8,5,10,-2,5,5,6,5,1,6,6,6,1,5,6,8,5,7,13,7,8,4,5,8,6,4,11,10,7,6,8,17,10,4,8,6,4,0,6,3,9
2019-01-01T13:00:00Z,5,3,5,8,8,7,0,7,10,8,6,8,8,7,14,4,8,5,10,5,5,4,14,6,7,7,4,5,5,5,4,5,11,4,3,6,4,6,6,5,11,-1,6,9,38,4,5,8,6,4,2,4,3,8,5,8,12,6,9,5,5,7,10,7,14,8,10,8,8,21,16,8,5,10,6,0,10,5,6
2019-01-01T14:00:00Z,3,3,8,6,7,7,0,5,7,6,9,5,13,7,8,4,10,0,6,6,7,6,7,5,6,7,5,3,5,3,7,6,9,4,4,6,4,4,5,7,11,4,6,4,1,6,4,11,6,5,2,2,1,4,3,8,12,6,6,3,5,11,8,8,14,7,8,5,6,7,5,8,4,6,5,0,7,5,5
2019-01-01T15:00:00Z,8,4,8,8,8,8,0,9,8,10,10,9,11,11,8,4,12,3,4,10,7,7,9,3,7,9,8,3,2,3,12,5,10,5,6,6,6,9,8,7,12,5,5,4,4,6,4,9,5,7,2,2,5,6,3,8,10,6,3,4,5,7,18,6,17,8,9,8,9,26,6,10,6,3,9,0,8,5,4
2019-01-01T16:00:00Z,6,5,5,10,6,8,0,7,14,10,12,10,11,7,9,5,14,0,5,17,4,7,20,6,9,10,6,5,5,6,10,4,9,5,6,7,6,9,12,7,13,1,4,5,5,12,8,10,6,4,4,2,9,8,2,6,14,7,5,5,7,9,14,8,17,13,7,6,15,25,7,9,2,7,10,0,8,6,2
2019-01-01T17:00:00Z,9,5,7,10,6,9,0,9,15,9,16,6,17,7,7,8,24,6,5,14,9,7,24,11,9,13,7,6,5,6,8,5,15,7,8,8,8,8,11,9,9,2,8,8,5,9,5,9,5,4,4,3,12,7,2,9,18,10,5,3,10,14,11,9,15,15,6,8,11,18,7,8,13,9,18,0,16,6,4
2019-01-01T18:00:00Z,5,5,9,12,6,10,0,13,18,9,8,6,10,15,12,7,23,2,6,7,9,8,29,8,11,15,7,7,6,7,12,3,10,9,6,8,8,8,9,9,8,1,10,8,8,7,4,9,6,7,3,7,11,11,3,11,15,25,5,5,7,11,12,7,18,15,7,14,10,26,8,10,9,8,20,0,10,5,6
2019-01-01T19:00:00Z,7,4,9,14,6,10,0,13,13,8,9,6,8,17,9,6,16,3,10,8,10,8,17,7,9,9,6,6,6,7,10,3,10,9,6,7,7,16,11,10,10,-2,9,5,12,6,4,9,4,6,2,9,7,14,5,10,11,37,2,8,6,9,9,5,16,11,8,11,16,30,10,9,4,18,12,0,11,13,5
2019-01-01T20:00:00Z,7,5,9,13,4,12,0,10,10,5,10,7,6,12,5,8,8,0,7,7,6,9,22,6,9,9,10,6,5,9,8,2,8,6,7,9,6,12,11,9,9,-1,7,7,10,9,6,8,6,5,5,9,7,11,6,17,12,19,6,11,5,13,10,8,17,8,9,10,15,19,7,7,4,13,17,0,12,5,10
2019-01-01T21:00:00Z,4,5,9,12,5,11,0,13,10,0,9,5,7,11,5,8,9,3,8,9,4,9,26,8,7,9,10,7,5,8,9,2,7,6,6,9,5,11,11,12,8,-3,12,3,8,8,7,7,4,8,1,10,9,8,7,18,14,15,6,5,5,9,8,5,12,12,9,12,11,14,7,6,15,15,29,0,9,9,6
